"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"2","25","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""867237979""","0.526","0.526","0.526","0","0.526"
"2","26","75","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""2131561303""","0.939","0.939","0.939","0","0.939"
"2","27","75","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1060042318""","0.982","0.982","0.982","0","0.982"
"2","28","75","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1256247972""","0.961","0.961","0.961","0","0.961"
"2","29","75","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""16085047""","0.99","0.99","0.99","0","0.99"
"2","30","75","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""991810091""","0.98","0.98","0.98","0","0.98"
"3","1","25","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-815953850""","0.2","0.2","0.2","0","0.2"
"3","2","25","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-498321606""","0.264","0.264","0.264","0","0.264"
"3","3","25","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1135651855""","0.187","0.187","0.187","0","0.187"
"3","4","25","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1960449156""","0.249","0.249","0.249","0","0.249"
"3","5","25","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1364472005""","0.25","0.25","0.25","0","0.25"
"3","6","25","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-112304368""","0.339","0.339","0.339","0","0.339"
"3","7","25","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1090386188""","0.394","0.394","0.394","0","0.394"
"3","8","25","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1547748060""","0.372","0.372","0.372","0","0.372"
"3","9","25","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""162532308""","0.296","0.296","0.296","0","0.296"
